gender,group,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,some high school,free/reduced,none,40,59,55
female,group D,high school,standard,none,63,77,76
male,group D,associate's degree,standard,completed,77,87,85
male,group D,associate's degree,standard,completed,88,87,83
male,group D,some college,free/reduced,none,76,66,68
female,group D,master's degree,standard,none,81,81,87
male,group D,bachelor's degree,standard,completed,94,87,93
female,group D,associate's degree,free/reduced,completed,83,95,100
female,group D,associate's degree,free/reduced,none,82,95,93
female,group D,bachelor's degree,standard,completed,71,87,92
female,group D,some high school,standard,none,51,62,64
female,group D,some high school,free/reduced,none,39,49,48
female,group D,some college,free/reduced,none,71,81,77
female,group D,bachelor's degree,free/reduced,none,61,71,73
female,group D,associate's degree,free/reduced,completed,80,87,89
male,group D,some high school,standard,completed,90,82,88
female,group D,high school,free/reduced,none,58,72,70
female,group D,high school,standard,completed,72,86,79
male,group D,some college,standard,none,94,92,85
female,group D,some college,standard,none,91,94,96
female,group D,master's degree,free/reduced,none,50,64,66
male,group D,associate's degree,free/reduced,completed,72,76,73
female,group D,bachelor's degree,free/reduced,none,37,53,48
female,group D,high school,standard,none,40,46,57
female,group D,high school,free/reduced,completed,47,54,56
male,group D,associate's degree,free/reduced,completed,81,71,70
male,group D,high school,standard,none,80,77,72
female,group D,some high school,standard,none,64,70,73
male,group D,some college,standard,completed,96,95,90
female,group D,some college,standard,none,63,70,71
female,group D,high school,standard,none,66,84,77
male,group D,high school,standard,none,75,63,60
male,group D,some high school,standard,completed,68,72,73
male,group D,some college,free/reduced,completed,62,68,71
male,group D,some college,standard,none,70,64,62
female,group D,high school,standard,completed,48,56,64
female,group D,associate's degree,free/reduced,none,66,75,74
female,group D,master's degree,standard,none,87,97,100
male,group D,some high school,standard,none,91,77,72
female,group D,some high school,standard,completed,85,100,97
male,group D,high school,standard,none,77,67,64
female,group D,high school,standard,none,68,72,73
female,group D,some college,free/reduced,none,42,61,51
female,group D,high school,free/reduced,none,72,91,81
male,group D,some high school,standard,none,54,43,45
female,group D,bachelor's degree,standard,none,70,78,82
male,group D,associate's degree,standard,none,62,55,56
female,group D,associate's degree,standard,completed,50,63,65
male,group D,associate's degree,standard,none,97,88,85
male,group D,some college,standard,none,89,90,83
female,group D,high school,standard,none,82,95,96
male,group D,associate's degree,standard,completed,76,76,83
male,group D,some high school,standard,none,85,81,80
male,group D,associate's degree,free/reduced,completed,73,69,70
female,group D,some high school,free/reduced,none,64,86,89
female,group D,bachelor's degree,standard,completed,68,78,84
female,group D,some college,standard,none,80,90,90
female,group D,some high school,standard,none,61,62,61
female,group D,some college,standard,completed,78,85,93
male,group D,high school,free/reduced,none,65,63,60
male,group D,some college,free/reduced,none,49,47,48
male,group D,some college,free/reduced,completed,74,80,86
male,group D,high school,free/reduced,completed,82,83,77
male,group D,associate's degree,free/reduced,none,72,72,65
female,group D,associate's degree,standard,none,77,82,80
male,group D,associate's degree,standard,none,85,77,76
male,group D,high school,standard,completed,77,77,78
female,group D,high school,free/reduced,none,53,65,69
female,group D,associate's degree,free/reduced,none,68,84,80
male,group D,some high school,standard,completed,43,37,43
male,group D,associate's degree,free/reduced,none,70,62,66
male,group D,some high school,standard,none,73,66,59
male,group D,high school,free/reduced,completed,56,65,63
female,group D,some college,standard,none,72,83,83
female,group D,some college,standard,completed,68,75,73
male,group D,associate's degree,free/reduced,completed,74,90,89
male,group D,high school,standard,completed,79,84,80
male,group D,some college,standard,none,91,95,88
male,group D,associate's degree,free/reduced,completed,67,70,70
male,group D,high school,standard,completed,64,71,70
female,group D,some high school,standard,completed,71,83,89
