gender,group,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,bachelor's degree,standard,completed,77,82,78
male,group A,some college,standard,completed,73,81,76
female,group A,high school,standard,none,80,85,83
male,group A,some high school,free/reduced,completed,69,64,62
male,group A,associate's degree,standard,none,74,78,72
male,group A,some college,standard,completed,78,83,77
male,group A,associate's degree,free/reduced,completed,82,82,78
female,group A,master's degree,free/reduced,none,63,65,66
female,group A,some college,free/reduced,none,66,90,83
female,group A,high school,standard,none,70,75,74
female,group A,high school,standard,completed,63,81,78
male,group A,some college,free/reduced,none,71,68,65
male,group A,associate's degree,standard,completed,77,73,80
female,group A,bachelor's degree,standard,none,68,74,74
female,group A,some college,standard,none,77,86,84
female,group A,bachelor's degree,standard,none,63,67,71
male,group A,bachelor's degree,standard,completed,88,87,94
female,group A,high school,standard,none,72,70,72
female,group A,some college,standard,completed,83,92,95
male,group A,some college,standard,completed,91,97,95
male,group A,high school,standard,completed,67,67,63
female,group A,high school,standard,completed,70,73,80
female,group A,high school,standard,none,85,91,89
male,group A,associate's degree,standard,completed,61,71,67
female,group A,high school,standard,none,77,77,79
female,group A,some high school,standard,none,90,88,86
female,group A,high school,standard,none,77,91,87
female,group A,master's degree,standard,completed,94,100,100
female,group A,some college,free/reduced,completed,65,76,72
male,group A,bachelor's degree,free/reduced,none,78,74,73
male,group A,bachelor's degree,standard,completed,66,72,70
male,group A,bachelor's degree,standard,none,80,78,74
male,group A,master's degree,standard,none,63,63,67
female,group A,bachelor's degree,standard,completed,91,100,100
male,group A,master's degree,standard,none,85,83,78
male,group A,some college,standard,completed,77,76,77
female,group A,master's degree,standard,completed,74,78,84
female,group A,high school,standard,none,63,73,66
female,group A,associate's degree,standard,completed,70,78,87
female,group A,bachelor's degree,standard,completed,83,96,99
male,group A,high school,standard,completed,68,70,63
male,group A,high school,standard,none,89,83,80
male,group A,some college,standard,completed,78,69,73
male,group A,some college,standard,completed,78,78,74
male,group A,bachelor's degree,free/reduced,none,78,74,73
male,group A,some high school,free/reduced,completed,69,64,62
female,group A,high school,standard,completed,70,73,80
male,group A,associate's degree,standard,none,74,78,72
female,group A,high school,standard,none,85,91,89
female,group A,bachelor's degree,standard,none,63,67,71
female,group A,high school,standard,none,63,73,66
female,group A,high school,standard,completed,63,81,78
male,group A,some college,standard,completed,77,76,77
female,group A,bachelor's degree,standard,none,68,74,74
male,group A,some college,standard,completed,73,81,76
female,group A,high school,standard,none,80,85,83
male,group A,bachelor's degree,standard,none,80,78,74
male,group A,associate's degree,free/reduced,completed,82,82,78
female,group A,high school,standard,none,77,77,79
female,group A,bachelor's degree,standard,completed,91,100,100
male,group A,high school,standard,completed,68,70,63
male,group A,some college,standard,completed,78,78,74
male,group A,high school,standard,completed,67,67,63
male,group A,bachelor's degree,standard,completed,77,82,78
male,group A,bachelor's degree,standard,completed,66,72,70
female,group A,some college,standard,none,77,86,84
female,group A,high school,standard,none,72,70,72
female,group A,some college,standard,completed,83,92,95
male,group A,some college,standard,completed,91,97,95
male,group A,high school,standard,none,89,83,80
male,group A,some college,standard,completed,78,69,73
female,group A,high school,standard,none,70,75,74
male,group A,associate's degree,standard,completed,61,71,67
female,group A,high school,standard,none,77,91,87
female,group A,bachelor's degree,standard,completed,83,96,99
male,group A,master's degree,standard,none,63,63,67
female,group A,some college,free/reduced,none,66,90,83
female,group A,master's degree,free/reduced,none,63,65,66
female,group A,associate's degree,standard,completed,70,78,87
male,group A,master's degree,standard,none,85,83,78
female,group A,some college,free/reduced,completed,65,76,72
female,group A,master's degree,standard,completed,74,78,84
male,group A,some college,standard,completed,78,83,77
female,group A,some high school,standard,none,90,88,86
male,group A,bachelor's degree,standard,completed,88,87,94
female,group A,master's degree,standard,completed,94,100,100
male,group A,some college,free/reduced,none,71,68,65
male,group A,associate's degree,standard,completed,77,73,80
