gender,group,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,bachelor's degree,standard,completed,67,80,84
female,group C,high school,standard,none,71,77,70
female,group C,master's degree,standard,none,63,82,71
male,group C,some high school,free/reduced,none,73,78,69
female,group C,bachelor's degree,standard,none,83,92,91
male,group C,associate's degree,standard,none,68,61,62
male,group C,associate's degree,standard,completed,100,91,90
male,group C,bachelor's degree,standard,completed,83,75,75
male,group C,some college,standard,none,73,68,66
male,group C,high school,standard,none,66,61,63
female,group C,associate's degree,standard,completed,85,87,94
female,group C,bachelor's degree,free/reduced,completed,78,90,81
male,group C,some high school,standard,none,68,74,69
male,group C,associate's degree,standard,completed,74,73,77
female,group C,associate's degree,standard,none,66,73,68
male,group C,some college,free/reduced,completed,68,73,68
female,group C,some college,standard,none,88,100,88
male,group C,bachelor's degree,free/reduced,none,76,66,68
female,group C,some high school,standard,completed,77,86,90
female,group C,associate's degree,standard,completed,69,75,71
male,group C,high school,free/reduced,completed,83,78,82
male,group C,master's degree,free/reduced,completed,69,66,65
female,group C,high school,standard,none,62,64,63
male,group C,high school,free/reduced,none,69,71,62
male,group C,associate's degree,free/reduced,none,76,68,66
male,group C,high school,standard,completed,79,79,70
male,group C,bachelor's degree,standard,none,98,92,90
male,group C,some high school,standard,none,72,68,67
male,group C,some high school,standard,completed,89,87,90
male,group C,associate's degree,standard,none,78,71,67
male,group C,associate's degree,standard,none,74,76,70
male,group C,master's degree,free/reduced,completed,69,79,72
female,group C,associate's degree,standard,none,74,81,85
female,group C,associate's degree,standard,completed,75,85,87
female,group C,associate's degree,standard,completed,77,91,89
female,group C,bachelor's degree,standard,none,64,64,66
male,group C,high school,standard,none,68,74,71
male,group C,associate's degree,standard,none,78,74,76
female,group C,some high school,standard,none,77,83,86
male,group C,associate's degree,standard,none,71,68,63
male,group C,high school,standard,none,72,71,65
female,group C,bachelor's degree,standard,completed,82,87,90
female,group C,bachelor's degree,free/reduced,none,69,73,71
female,group C,some college,standard,none,63,63,69
female,group C,some college,free/reduced,none,71,78,82
female,group C,associate's degree,standard,none,88,91,86
