gender,group,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,some college,standard,completed,93,88,84
male,group E,high school,standard,completed,87,79,82
female,group E,some high school,standard,completed,65,76,78
male,group E,some college,standard,completed,100,84,87
female,group E,associate's degree,free/reduced,none,92,87,87
female,group E,some high school,standard,none,76,83,79
female,group E,associate's degree,standard,none,72,77,77
male,group E,some college,standard,completed,87,78,80
female,group E,some high school,standard,none,83,87,83
female,group E,high school,standard,none,62,71,66
female,group E,some college,standard,none,79,76,71
female,group E,some college,free/reduced,none,82,88,86
male,group E,some college,free/reduced,completed,80,79,81
male,group E,high school,standard,none,70,62,61
male,group E,associate's degree,standard,completed,100,100,100
male,group E,high school,free/reduced,completed,75,80,75
male,group E,associate's degree,free/reduced,completed,92,79,77
female,group E,bachelor's degree,standard,completed,100,100,100
female,group E,some high school,standard,none,69,71,67
male,group E,some high school,standard,none,87,84,80
male,group E,high school,free/reduced,none,73,75,64
male,group E,associate's degree,standard,completed,89,84,81
female,group E,some college,standard,none,78,83,78
male,group E,some college,free/reduced,none,71,64,66
female,group E,high school,standard,none,90,88,84
male,group E,high school,standard,none,75,68,66
male,group E,some high school,standard,completed,97,80,88
female,group E,associate's degree,free/reduced,none,72,73,70
male,group E,associate's degree,standard,none,86,77,78
male,group E,bachelor's degree,free/reduced,none,80,70,71
male,group E,associate's degree,standard,none,74,73,67
male,group E,associate's degree,standard,completed,78,73,68
male,group E,high school,standard,none,79,78,77
male,group E,some high school,standard,none,86,76,63
male,group E,some college,free/reduced,none,81,79,71
female,group E,master's degree,free/reduced,completed,92,100,98
male,group E,master's degree,free/reduced,none,71,62,66
male,group E,some college,free/reduced,none,90,87,81
male,group E,associate's degree,standard,none,100,91,86
female,group E,bachelor's degree,standard,none,86,87,89
female,group E,master's degree,free/reduced,none,84,100,99
male,group E,some college,free/reduced,none,78,84,77
male,group E,some college,standard,completed,99,83,85
female,group E,some high school,standard,completed,64,80,77
female,group E,associate's degree,standard,none,78,72,71
female,group E,some high school,standard,completed,62,78,73
female,group E,some college,standard,completed,100,100,100
male,group E,high school,standard,none,100,82,80
male,group E,associate's degree,standard,none,90,76,73
female,group E,high school,standard,none,92,86,82
female,group E,high school,free/reduced,completed,74,96,95
male,group E,high school,standard,none,94,89,86
male,group E,some college,free/reduced,completed,75,65,66
male,group E,associate's degree,free/reduced,none,73,73,61
female,group E,high school,free/reduced,none,64,69,68
male,group E,associate's degree,standard,none,98,81,77
male,group E,high school,standard,none,100,88,87
male,group E,some high school,free/reduced,none,84,78,79
male,group E,some high school,free/reduced,none,68,62,61
male,group E,associate's degree,standard,completed,100,100,100
male,group E,bachelor's degree,standard,none,86,71,71
male,group E,some high school,free/reduced,completed,75,70,61
female,group E,master's degree,free/reduced,none,83,81,83
female,group E,bachelor's degree,standard,none,78,89,93
male,group E,bachelor's degree,standard,none,87,87,84
male,group E,high school,free/reduced,none,93,86,73
male,group E,some college,standard,completed,100,84,88
